name,MV,MVerror,Mbol1,Mbol1error,Mbol2,Mbol2error,a,aerror,M1,M1error,M2,M2error,R1,R1error,R2,R2error,L1,L1error,L2,L2error
TIC 429973546,3.963113825,1.396632891,4.163275399,1.140345981,5.500973476,1.140345981,2.539534687,0.927445152,1.828019865,1.375516569,0.174327376,0.121375299,1.322873781,0.483117195,0.695954818,0.254164641,2.364170999,1.791564316,0.689603814,0.522580467
TIC 431481388,3.750741221,1.36773264,4.57688772,1.116749025,3.982464224,1.116749025,4.561264217,1.626915442,3.74068495,2.768257689,3.357618762,2.273532634,1.433790305,0.511405495,2.117718418,0.755349533,1.594591059,1.188805702,2.756885463,2.055323928
TIC 426872743,4.955301693,1.531652558,4.767350623,1.250589077,6.113693081,1.250589077,2.991881843,1.21660061,1.760157971,1.3888855,0.740952877,0.599490964,1.807654369,0.735053563,0.695071235,0.282639533,1.442850605,1.172824787,0.417526825,0.339387742
TIC 140627676,2.131086885,1.147325603,2.507768046,0.936787432,3.439623652,0.936787432,3.624429374,1.067232874,1.103977825,0.594985765,0.738527743,0.47340782,1.896646351,0.558477798,1.1347177,0.334123777,9.786241872,6.324323542,4.148333877,2.680845818
TIC 115412010,4.741912508,1.502613968,4.555697701,1.226879168,5.845929378,1.226879168,3.480516882,1.383382411,2.438809534,1.874456331,1.474317293,1.175149683,1.91833721,0.76247122,0.867098012,0.344640804,1.72938818,1.385810084,0.526986895,0.422290242
TIC 182894226,3.165922742,1.288148926,3.262955944,1.051769194,4.313637075,1.051769194,5.390861862,1.798958472,5.220884242,3.266782591,3.377312995,2.381659835,2.783617678,0.928907609,1.469920957,0.490520222,5.167584294,3.67327399,1.96342862,1.395663983
TIC 193553960,3.097590099,1.278850031,3.194210342,1.044176678,4.819994099,1.044176678,4.287124564,1.419306657,2.826795344,1.752111894,1.06060948,0.743548531,2.357261281,0.780401077,1.009578089,0.334233559,5.483834819,3.875375719,1.226791793,0.866962497
TIC 197933923,2.211599963,1.158282045,2.597663867,0.945733329,3.393298289,0.945733329,4.388620864,1.305422259,3.882651818,2.508701117,0.799072567,0.435904973,2.224201145,0.661602306,1.579175927,0.469735589,9.046962106,5.893337359,4.347594216,2.832093151
TIC 231075361,4.439977486,1.461525816,4.390400439,1.193330832,5.642487955,1.193330832,3.307680093,1.272628407,1.903598991,1.40888717,1.102740775,0.860077675,1.835238421,0.706107145,0.834764692,0.321175334,1.97547065,1.550208027,0.623498733,0.489277196
TIC 286169068,3.087912081,1.277533019,3.448098074,1.043101342,4.461024662,1.043101342,2.258843086,0.746974552,0.806893956,0.565205724,0.126762351,0.078464646,1.095716305,0.362341325,0.700864984,0.231768338,4.337994979,3.063071875,1.706547613,1.204998628
TIC 320268279,2.65058077,1.218019766,3.067962402,0.994508974,3.779869157,0.994508974,3.782181312,1.187469932,2.979949471,2.00745184,0.59365576,0.345421765,1.864092084,0.585258378,1.289845369,0.404965407,6.007377792,4.080058949,3.11833122,2.117891639
TIC 406732815,5.994010592,1.673002936,6.87998979,1.366001177,6.03274949,1.366001177,1.903656269,0.864381374,0.652360673,0.565317193,0.521777868,0.466141741,0.568963387,0.25834567,0.914963685,0.415451876,0.221003055,0.191494906,0.482274608,0.417881692
TIC 41994216,4.942187603,1.529867957,4.826641134,1.249131956,5.936632935,1.249131956,3.027367558,1.229310088,1.700719783,1.33983015,1.087102953,0.878755322,1.702866423,0.691475624,0.769280182,0.312378286,1.365006735,1.108589395,0.491063974,0.39881731
TIC 23936839,5.222207953,1.5679739,5.210329655,1.280245328,6.244464078,1.280245328,2.50706443,1.048813878,0.996910295,0.812587048,0.870205941,0.717032176,1.291985675,0.54049369,0.709032392,0.296619027,0.976406257,0.807508976,0.376683663,0.311525491
TIC 326242641,3.752628745,1.3679895,4.088073063,1.116958749,5.047893763,1.116958749,2.472154567,0.881956235,1.410847201,1.044240321,0.203155108,0.137596013,1.212299398,0.432495212,0.764022585,0.272569722,2.501637914,1.865305599,1.033465946,0.770587064
TIC 353565609,3.538308613,1.338824224,3.623207746,1.093145401,4.664894459,1.093145401,4.777418908,1.663765882,4.024761248,2.649272232,2.917169408,2.122222455,2.410609362,0.83950972,1.355511962,0.472065481,3.789833867,2.7782251,1.45192936,1.064370295
TIC 408256672,5.621660816,1.622332549,6.517809212,1.32462898,5.67069108,1.32462898,2.194066462,0.957588831,0.856910824,0.725024736,0.706090276,0.603725615,0.648114978,0.282866392,1.051470219,0.458908677,0.300769206,0.254969057,0.656267085,0.556332883
TIC 436660156,3.085633887,1.277222996,3.119978846,1.04284821,4.614818429,1.04284821,4.93853216,1.632684018,9.473917834,6.634894366,0.86438477,0.534876312,2.66727616,0.881804353,1.348097873,0.4456826,5.867866356,4.142506798,1.480963589,1.045508088
TIC 441810703,4.172248987,1.425092582,4.430513471,1.163583221,5.104025078,1.163583221,3.198851733,1.195414269,1.393861615,0.997066242,1.369421735,1.047036456,1.597444137,0.59696656,0.961078167,0.359155926,1.87225397,1.44110407,1.006839203,0.774980369
TIC 457172621,2.635639239,1.215986481,3.019306765,0.992848804,3.608860836,0.992848804,5.215789924,1.634618497,7.293079216,4.906246112,1.766554869,1.025667385,2.434132136,0.762852314,1.857785658,0.58222644,6.277546663,4.257694776,3.647273418,2.47373342
TIC 56001210,3.560487099,1.341842334,3.781095225,1.095609678,5.161441071,1.095609678,2.627843736,0.91746264,1.738984876,1.267388569,0.155314598,0.102539243,1.427216694,0.498286096,0.720930381,0.2516994,3.281221059,2.409666548,0.92023162,0.675800658
TIC 434106760,5.121269093,1.554237861,5.258306154,1.269029899,6.342427524,1.269029899,2.091701553,0.865717062,0.571853958,0.460457548,0.451260184,0.36929277,1.08522972,0.449156756,0.592727467,0.245319071,0.928007453,0.762538963,0.341903004,0.280939944
TIC 120499528,3.690554693,1.359542291,3.929884104,1.110061633,4.90292639,1.110061633,3.288096737,1.164920689,1.377210053,0.9251435,1.015887372,0.748199127,1.714230349,0.60732471,0.976868243,0.346088974,2.883257828,2.139417312,1.1767022,0.873129358
TIC 121108244,3.337779845,1.311535715,3.819272931,1.070864427,3.661760734,1.070864427,6.277611662,2.136823759,11.19610757,8.011204863,6.384218002,4.089968814,2.223044448,0.756697682,2.658491569,0.904918662,3.126660096,2.254825958,3.614810621,2.606861178
TIC 216977460,3.074815411,1.275750788,3.701048889,1.041646157,3.724386918,1.041646157,3.835432715,1.266397206,2.519863798,1.763088799,1.234962582,0.76303925,1.714858233,0.566218165,1.83107543,0.604591185,3.433870649,2.421934036,3.36084683,2.370429804
TIC 257525627,2.588870986,1.209622128,2.791970774,0.987652332,4.343792582,0.987652332,3.541569749,1.103651509,2.858210916,1.914490061,0.258993342,0.149359095,1.968863012,0.613552404,0.997855795,0.310959583,7.719854369,5.213344735,1.848759355,1.248497626
TIC 274676647,3.91052221,1.389476079,4.197179518,1.134502468,5.305845517,1.134502468,2.329722431,0.845881811,1.323394318,0.991748153,0.154904849,0.107115234,1.1765886,0.427198915,0.668980443,0.242895197,2.284159522,1.724025727,0.82273511,0.620979613
TIC 276963370,3.647628067,1.353700718,3.9016764,1.105292007,5.020160776,1.105292007,3.003048011,1.058813583,2.49700834,1.832718511,0.31945062,0.213370832,1.483323302,0.522989594,0.868212523,0.306114058,2.951568858,2.182690957,1.053559747,0.779109498
TIC 287174076,4.358066717,1.450379172,4.50685438,1.184229635,5.343756568,1.184229635,3.415151586,1.302361113,1.891808149,1.385726738,1.563993475,1.212506172,1.698256856,0.647626799,0.969205455,0.369604529,1.765444179,1.377337108,0.81675747,0.637205291
TIC 376939426,4.17655984,1.425679215,4.468038532,1.164062204,5.36127506,1.164062204,2.542278545,0.950500501,0.716174915,0.512582447,0.64874441,0.496180232,1.266492952,0.473513096,0.78547389,0.293670938,1.809133515,1.392960483,0.79465022,0.611848901
TIC 40083136,6.029902069,1.677887147,6.029473305,1.369989119,7.346393924,1.369989119,1.625881155,0.741086546,0.377712608,0.338857739,0.255957864,0.222310242,0.864342983,0.393972803,0.427399369,0.194811239,0.484931229,0.421047142,0.144182286,0.125187935
TIC 410392940,3.78503788,1.372399825,3.829759157,1.120559764,5.560252837,1.120559764,3.231899168,1.157181744,1.550863938,1.054894436,0.504117323,0.374082511,1.871604459,0.670128119,0.716487613,0.256538444,3.179778814,2.376941239,0.645950799,0.482859715
TIC 418998975,5.19035306,1.563638998,5.299735407,1.276705896,5.240304397,1.276705896,3.467378486,1.445656935,3.783525852,3.110843792,2.087941603,1.695350451,1.222542971,0.509715836,1.816906644,0.757524366,0.897335519,0.740611085,0.947823043,0.782280693
TIC 88465768,1.841817982,1.107961091,2.158433367,0.904646442,3.267256622,0.904646442,4.52603456,1.284203543,4.095484298,2.549283114,0.554949755,0.286134165,2.421184023,0.686979531,1.352992453,0.383894042,13.29952194,8.345090682,4.789682527,3.005396374
TIC 9886075,3.915734199,1.390185341,4.050260798,1.135081578,5.488450892,1.135081578,2.866716447,1.041456515,1.080855941,0.747910624,0.491082905,0.368165549,1.604926216,0.583057618,0.738373419,0.268245507,2.615962552,1.975247315,0.695593452,0.525225064
TIC 159981348,5.488072809,1.604153524,6.182484172,1.309785868,5.780515547,1.309785868,2.147204336,0.92395733,0.963307612,0.807942805,0.565515813,0.475905487,0.72930805,0.313826452,0.953326401,0.410223145,0.405935511,0.34133777,0.587820184,0.494278587
TIC 161825615,3.350189922,1.313224513,3.367058022,1.072243325,3.962705883,1.072243325,6.384658352,2.176355709,9.133464086,5.861134699,6.221840542,4.456569058,3.64185311,1.24140829,1.822154518,0.621122724,4.745487379,3.425780914,2.741711026,1.979249033
TIC 165458777,4.900495205,1.52419434,5.982648372,1.244499467,5.161176141,1.244499467,2.165853289,0.875575202,0.58737958,0.473432018,0.544298952,0.426611635,0.668316832,0.270176031,1.049451079,0.424254655,0.469414355,0.380183188,1.000334528,0.810180527
TIC 199497213,2.927410474,1.255691517,3.381664913,1.02526783,3.949613308,1.02526783,3.853504267,1.250522932,3.138475755,2.167734657,0.866489227,0.524444019,1.634452148,0.530405509,1.354775519,0.43964603,4.569889255,3.182036216,2.70848427,1.885930831
TIC 20212631,4.824547492,1.513859165,4.818664872,1.236060832,6.582528331,1.236060832,2.182962231,0.87536,0.674303722,0.523588914,0.220370779,0.176679606,1.316015825,0.527717611,0.487727797,0.195577092,1.364633445,1.099638691,0.268825602,0.216623031
TIC 231922739,3.87777935,1.38502034,4.170830477,1.130864372,4.945382109,1.130864372,3.277854464,1.185816275,1.373752919,0.94587774,1.276528467,0.954186275,1.588664668,0.574724851,0.97456456,0.352564316,2.335623011,1.758460058,1.144411182,0.861612231
TIC 33416807,4.955551844,1.5316866,5.708277173,1.250616872,5.34812936,1.250616872,2.271135556,0.92354536,0.833676158,0.674523305,0.589024666,0.464795147,0.715475895,0.290944519,1.065511791,0.43328478,0.606537719,0.49303386,0.845117196,0.686966994
TIC 76305215,3.254901281,1.300257371,3.503372087,1.061655698,4.828523997,1.061655698,2.945557746,0.993119795,2.052394566,1.458346517,0.240053412,0.152055078,1.469348464,0.495403306,0.827243563,0.278912189,4.162463885,2.981127747,1.228258319,0.879670084
TIC 121009628,5.09433488,1.550572579,5.865745622,1.266037209,5.056746953,1.266037209,3.041948602,1.255406728,1.846755445,1.508533818,1.577879156,1.266359192,0.900479396,0.371626231,1.499321498,0.618767291,0.529429077,0.434273198,1.115339947,0.914876546
TIC 142587827,2.788746383,1.236821724,2.94956467,1.009860709,4.679910977,1.009860709,3.39094344,1.082443114,2.826348898,1.928104433,0.199017349,0.118113895,1.920650214,0.613102116,0.863072657,0.275506528,6.751018802,4.643085815,1.37161048,0.943339864
TIC 143100813,3.439194086,1.325336445,3.717240273,1.082132676,4.773790981,1.082132676,3.160982513,1.088507775,2.602152564,1.877705772,0.374432022,0.24319923,1.542791015,0.53127153,0.955523071,0.329041457,3.455174934,2.512619415,1.3057191,0.949525053
TIC 250114673,4.300699676,1.442572507,4.383046833,1.17785552,6.601225403,1.17785552,1.814609242,0.687695231,0.872506958,0.673553002,0.032129374,0.02336346,1.086126359,0.411616948,0.396079825,0.150105158,1.971600109,1.531840642,0.255592088,0.198583042
TIC 271495349,1.604715963,1.075695593,1.998214447,0.878301774,2.801772213,0.878301774,5.710358999,1.570460792,6.639844041,4.030698462,1.44518443,0.71790447,2.766354952,0.760801902,1.913194714,0.526166093,15.23075182,9.319000203,7.266047542,4.445762054
TIC 271958272,3.398730221,1.319830011,4.023490853,1.077636691,4.009176218,1.077636691,4.191588107,1.436756002,3.847266662,2.766884198,1.757307963,1.135162046,1.568854383,0.537758218,1.655296557,0.567388112,2.59979723,1.884328057,2.634300598,1.909336032
TIC 353780788,5.256233225,1.572604153,5.434407646,1.284025914,6.343155505,1.284025914,1.991747087,0.836248929,0.503175173,0.411828866,0.449203457,0.370984209,1.015694858,0.426446582,0.543872753,0.228348775,0.796116892,0.659828331,0.344728901,0.285714194
TIC 365062319,2.900916128,1.252086093,2.811515022,1.022324014,3.924089714,1.022324014,6.877853881,2.224991235,10.77325079,6.49622861,4.452581402,3.068165534,4.139832611,1.339239163,1.645363884,0.532276533,7.714672324,5.359213341,2.768774636,1.923406898
TIC 370247078,3.786916324,1.372655449,4.065007153,1.12076848,5.070190364,1.12076848,2.922281962,1.046542658,0.980901893,0.667372627,0.782899288,0.581040208,1.447763846,0.51848064,0.856171563,0.306616567,2.56063018,1.914395927,1.014550282,0.758505051
TIC 375854100,5.391402678,1.590998386,5.681923018,1.299044742,5.202625251,1.299044742,3.558167668,1.515494257,4.389038802,3.657689478,2.431757928,2.022905604,1.198852797,0.510615209,1.677476445,0.714470524,0.639547266,0.534574258,0.994470153,0.831241369
TIC 93053299,3.133849925,1.283784368,3.223680922,1.048205547,5.104674065,1.048205547,3.519727305,1.170182059,3.774814006,2.654653724,0.198510861,0.123661571,2.090501296,0.69501609,0.831654603,0.276495084,5.348079175,3.791196891,0.945802747,0.670469586
TIC 101645013,2.416794843,1.186205531,2.746587328,0.96853276,3.770908352,0.96853276,3.929213942,1.198962576,3.284873689,2.164969625,0.496549978,0.279253098,1.999751395,0.610205278,1.206511131,0.368155492,7.974405693,5.29884786,3.104344544,2.062780611
TIC 219176881,2.503893833,1.198058202,2.654951632,0.978210426,4.574753636,0.978210426,3.451051966,1.064370285,2.699233323,1.793707512,0.164364877,0.093623751,2.010330094,0.620024165,0.853406959,0.263206992,8.717701912,5.840685315,1.487583023,0.996650769
TIC 268686130,2.465831984,1.192878641,2.636467407,0.973981332,4.448557177,0.973981332,2.762365063,0.848004983,1.318703048,0.873172783,0.103598797,0.058683389,1.518734215,0.466228812,0.709512992,0.217809934,8.849080945,5.907476676,1.667486243,1.113181827
TIC 345560724,3.807662749,1.375478679,3.965670001,1.123073639,5.522328643,1.123073639,2.573071719,0.923616425,0.768837669,0.524522279,0.304977213,0.226714402,1.455969015,0.522627056,0.630501393,0.226321497,2.809473665,2.103820056,0.669825241,0.501585686
TIC 393943031,2.664107382,1.219860505,2.818845233,0.996011931,4.585706221,0.996011931,3.606906008,1.134289704,3.229041408,2.177960372,0.22899498,0.133501743,2.028816097,0.638016407,0.902398394,0.283783721,7.562330077,5.142524171,1.485631961,1.010257182
TIC 50894724,3.178058919,1.28980045,3.584267912,1.053117658,4.328998304,1.053117658,3.081410532,1.02973145,2.011012519,1.419627644,0.382107624,0.239491036,1.435215671,0.479613702,0.976965766,0.326477879,3.846501753,2.737029411,1.937196957,1.378438224
TIC 95525590,6.437025869,1.733289679,6.683308747,1.415225097,6.18737342,1.415225097,2.370460468,1.128826871,1.993788168,1.776282787,1.024892809,0.964041948,0.790613315,0.376494595,1.084478601,0.51643493,0.273199402,0.242635774,0.43137391,0.383114831
TIC 34368383,3.56801605,1.342866894,3.697823766,1.096446228,5.011676433,1.096446228,3.69735031,1.291960174,2.019515299,1.334636134,1.041972378,0.759864354,1.992696692,0.69630534,0.956250031,0.334141169,3.544360533,2.604483449,1.056809783,0.776569867
TIC 172274437,2.224352113,1.160017392,2.374749589,0.947150235,4.117590304,0.947150235,4.574363658,1.362850005,5.558174291,3.595800235,0.363623203,0.198740604,2.702523301,0.805168581,1.150246755,0.34269549,11.1163446,7.250444097,2.232676058,1.456224463
TIC 18534775,4.185115506,1.426843494,4.333690267,1.165012834,5.234136089,1.165012834,3.504020358,1.311300925,1.882023204,1.348485426,1.70058908,1.301503448,1.690984811,0.632813089,1.020737496,0.381988084,2.048519095,1.578268984,0.893843915,0.688656567
TIC 198313291,4.658234741,1.491226866,4.738623781,1.217581638,5.913358305,1.217581638,2.754717016,1.085115427,1.156351282,0.879573988,0.761733244,0.603559937,1.442139658,0.56807577,0.727445499,0.286549337,1.453431377,1.158041427,0.492607162,0.392491527
TIC 22017780,3.483461563,1.331360486,4.254500872,1.087051285,4.065764095,1.087051285,3.352598768,1.160322109,1.857946374,1.345588179,1.00068772,0.65385633,1.253613892,0.43387116,1.407226225,0.487035823,2.112013129,1.541411236,2.512993264,1.8340587
TIC 250957384,4.128935001,1.419198295,4.269723888,1.158770556,5.942316367,1.158770556,2.247941139,0.83608095,1.431669073,1.091048603,0.100180242,0.071263719,1.212404998,0.450932057,0.560948014,0.208634443,2.165300192,1.661351603,0.463960623,0.355979151
TIC 260411041,3.238055552,1.297964958,3.394214372,1.05978395,5.348077945,1.05978395,2.327696635,0.783278304,1.139222283,0.808329069,0.060289376,0.038100447,1.368408819,0.460474497,0.55973205,0.188351851,4.598225816,3.288559284,0.760404829,0.543826349
TIC 284890361,4.179097449,1.42602454,4.470124487,1.164344161,5.397543289,1.164344161,2.470318518,0.923852768,0.661793993,0.473815049,0.585045389,0.447546844,1.239368457,0.463500545,0.760309456,0.284341469,1.805944785,1.390764512,0.768664719,0.591951438
TIC 74073423,4.646410712,1.48961782,4.799373645,1.216267857,5.887705826,1.216267857,2.455230347,0.965916032,0.812453125,0.617079564,0.545202981,0.431627009,1.303900577,0.512969576,0.646710482,0.254423388,1.373303977,1.093309821,0.504003794,0.401245687
TIC 164776925,4.110041773,1.416627253,4.836284502,1.156671308,4.634937781,1.156671308,3.030133649,1.124669512,1.757262303,1.337257382,0.917229427,0.650889898,1.065500404,0.395472926,1.248849417,0.463525054,1.283476366,0.983385017,1.544993173,1.183756224
TIC 355601553,2.902964057,1.252364781,3.4436624,1.022551562,3.699837337,1.022551562,4.04558322,1.309066642,2.582886679,1.780128203,1.446044857,0.87221139,1.564334628,0.506186171,1.911149313,0.618408194,4.310310761,2.994820608,3.404384525,2.365379551
TIC 40534599,3.871537665,1.384170954,4.111404234,1.130170852,5.155462635,1.130170852,3.029533006,1.095222487,1.134703071,0.780645009,0.875054446,0.653771124,1.513520919,0.547160946,0.873936399,0.315941366,2.466089876,1.855798279,0.942726119,0.7094265
TIC 66715008,3.296619303,1.305934475,3.563494954,1.066291034,4.634319756,1.066291034,3.528292257,1.195323758,3.488016173,2.487185452,0.462038175,0.294341177,1.728166487,0.585472605,0.997247313,0.337849962,3.947770941,2.83725163,1.472387172,1.058200429
TIC 198408416,3.758764484,1.368824468,4.257512594,1.117640498,4.095201252,1.117640498,4.965555211,1.772707691,6.267520534,4.64117282,3.763345538,2.550962873,1.736041337,0.619768324,2.192903417,0.782868499,2.140961325,1.5971373,2.486184524,1.854670606
TIC 1973623,5.652945764,1.626589891,5.69263946,1.328105085,7.928412604,1.328105085,0.591933655,0.259204959,0.050145685,0.042514296,0.003201796,0.002747794,0.31589946,0.138330885,0.1895243,0.082991798,0.644495989,0.547382855,0.082207409,0.069820336
TIC 302125867,3.411662858,1.32158992,3.707433089,1.079073651,4.782305473,1.079073651,2.855118423,0.98009899,0.827784915,0.535659377,0.583383405,0.420009373,1.462165289,0.501928996,0.845976946,0.29040517,3.480899949,2.525629411,1.29342898,0.938470603
TIC 327755452,2.077160961,1.139987214,2.258398062,0.930795662,4.056756812,0.930795662,3.806992995,1.113354964,3.022349281,1.926982525,0.194656572,0.104056802,2.230972614,0.652447861,0.909007592,0.265839238,12.27823321,7.892083009,2.343108384,1.506080358
TIC 5637753,4.786803295,1.508722831,4.797103923,1.231867033,5.760593463,1.231867033,3.134908249,1.252020705,1.624067996,1.255205477,1.605717794,1.283951647,1.53060842,0.611294903,0.897385214,0.358398007,1.388620721,1.116129136,0.571725846,0.459535037
TIC 5795305,3.629824109,1.351277906,3.839651682,1.10331379,5.219746032,1.10331379,2.879242235,1.013129967,2.242376502,1.643468954,0.255866894,0.170496531,1.434023576,0.504595355,0.839618747,0.295439857,3.12177751,2.305301771,0.875717861,0.646680915
TIC 89428764,3.590570609,1.345936181,3.732268741,1.09895229,5.647685441,1.09895229,2.315445667,0.811146955,1.284164664,0.938200288,0.074473361,0.049365899,1.305239504,0.457251519,0.552266342,0.193469952,3.438279465,2.53109706,0.589080292,0.433652765
TIC 204327008,4.388998613,1.45458847,5.196548528,1.187666513,4.709218707,1.187666513,3.008342809,1.15108288,1.441293128,1.119932292,1.170229281,0.860545016,0.973398862,0.372451824,1.445897991,0.553244271,0.937171197,0.732765802,1.468083849,1.147881671
TIC 30631330,3.441726761,1.325681099,3.577306831,1.082414085,5.096031319,1.082414085,3.37034035,1.160936658,1.511980353,0.982390232,0.646285137,0.466455091,1.879415173,0.647377339,0.869832076,0.299619575,3.93104497,2.859265658,0.970550678,0.705934998
TIC 72444850,3.083125398,1.276881634,3.345957225,1.042569489,4.267419762,1.042569489,4.530918856,1.497488015,2.821688351,1.745435887,2.386411336,1.6709187,2.156177401,0.712625832,1.351230632,0.44658749,4.764602109,3.362914989,2.039114551,1.439232224
TIC 13070701,3.095708788,1.278594017,3.237161675,1.043967643,5.368448731,1.043967643,2.311128185,0.764960254,1.06325201,0.745279817,0.050359105,0.031205564,1.352083217,0.447525986,0.522089151,0.172806274,5.270564337,3.724057471,0.740188438,0.522999835
TIC 167719897,1.977818514,1.126468419,2.225102448,0.919757613,3.595510491,0.919757613,4.334726573,1.251714838,2.086348379,1.098526162,0.598708032,0.377916111,2.61105298,0.753979219,0.996215393,0.287671568,12.59529167,8.01486397,3.564880792,2.26846947
TIC 198560607,3.677374723,1.357748725,4.615969565,1.108597191,4.116450392,1.108597191,3.135336086,1.10915779,1.333104587,0.980793184,1.00130414,0.671452104,1.078567978,0.381554654,1.433942373,0.507272047,1.53146472,1.135188088,2.426133337,1.798355279
