name,RA,DEC,Period,T1init,T1,T1error,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,r1,r2,l2/l1,R2
TIC 293619461,59.713154,-51.175823,0.310529442,6272.052734,6434.997084,34.79065528,89.96766413,0.037718041,0.274895138,0.000991773,0.922383816,0.00378315,1.039693624,0.000570754,0,0,0.547505318,0.333572138,0.402304323,0.99809494
TIC 2939367,82.04038467,35.28167043,1.630335426,6801.640137,6801.146871,134.1395237,84.24655348,1.31815488,0.648999286,0.116500916,0.117060941,0.018265529,0.938275462,0.004041843,0.495496423,0.00480702,0.427833813,0.352188778,0.554276253,0.997000409
TIC 320536498,120.044199,9.856966,0.410840963,6631.5,6696.030497,120.3727443,56.05554683,0.082375404,0.505866544,0.013405976,0.179035277,0.005852246,0.974570971,0.001181635,0,0,0.453796471,0.33530614,0.502241021,0.99866473
TIC 394896142,203.1052506,-74.60995262,0.738819237,6356.192383,6454.817595,93.51710468,57.8707788,0.337320696,0.179303566,0.015058793,0.105757133,0.016969304,0.971672559,0.003183587,0,0,0.536919014,0.248098982,0.194083386,0.998714871
TIC 429973546,96.00321476,20.47025358,0.350542367,5937.333496,6060.316244,87.18284043,71.24620089,0.226102613,0.23974918,0.006706285,0.216374522,0.006171285,1.013208616,0.000870034,0,0,0.518060417,0.275564902,0.294388452,0.996200373
TIC 431481388,49.36037309,-75.76990327,0.365122193,5276,5282.569477,141.3749379,64.93617975,0.470227465,2.204221643,0.449843397,0.092451684,0.022209802,0.943519896,0.007281848,0,0,0.319438702,0.456989788,1.620949179,0.99258407
TIC 461597238,8.767844458,84.9888762,0.891265684,9911.047024,9865.501442,127.0058125,44.73847529,1.048683322,2.419621011,0.259770095,0.549236315,0.052690024,0.82995934,0.007688262,0.358106028,0.049354747,0.345639774,0.496466316,1.417294316,0.998075697
TIC 426872743,236.5603388,-69.73941579,0.289773184,5374.5,5382.32887,144.2425924,51.71508848,0.994767384,6.688665497,1.267861013,0.437195112,0.081822408,0.84545638,0.010547776,0,0,0.25012205,0.564039687,2.526602859,0.986459437
TIC 140627676,70.69267379,72.97830005,0.498206542,7750.620117,7610.701501,59.59560235,75.70633854,0.20814169,3.090967464,0.072208074,0.521149526,0.012833021,0.958597507,0.001296499,0,0,0.320175637,0.511941441,2.337449529,0.99764302
TIC 115412010,252.0647209,44.74131042,0.301884367,5258.473145,5115.8613,153.8236877,73.44354343,0.196434681,4.542991557,0.085838685,0.131857505,0.012780903,0.904887914,0.003231474,0,0,0.264402487,0.521064788,2.512422481,0.996563903
